title,date,tags,company,link
🚀Rookie Hero 4기가 특별한 이유 4가지,2021.05.27,yogiyo#junior#rookie hero#python#post,요기요,https://techblog.yogiyo.co.kr/rookie-hero-4%EA%B8%B0%EA%B0%80-%ED%8A%B9%EB%B3%84%ED%95%9C-%EC%9D%B4%EC%9C%A0-4%EA%B0%80%EC%A7%80-bf852c3328a3?source=---------16-----------------------
"코드 리뷰 맛집, 요기요",2021.05.13,yogiyo#code review#code review#post#frontend development,요기요,https://techblog.yogiyo.co.kr/%EC%BD%94%EB%93%9C-%EB%A6%AC%EB%B7%B0-%EB%A7%9B%EC%A7%91-%EC%9A%94%EA%B8%B0%EC%9A%94-c251406b06b2?source=---------17-----------------------
매일 나를 돌아보고 성장하는 BE Developer의 이야기,2021.05.06,일일회고#post#retrospective#뽀모도로#yogiyo,요기요,https://techblog.yogiyo.co.kr/%EB%A7%A4%EC%9D%BC-%EB%82%98%EB%A5%BC-%EB%8F%8C%EC%95%84%EB%B3%B4%EA%B3%A0-%EC%84%B1%EC%9E%A5%ED%95%98%EB%8A%94-be-devloper%EC%9D%98-%EC%9D%B4%EC%95%BC%EA%B8%B0-5e59b487c61d?source=---------18-----------------------
Cross functional team의 성장 레시피,2021.04.30,yogiyo#post#agile#culture#retrospective,요기요,https://techblog.yogiyo.co.kr/cross-functional-team%EC%9D%98-%EC%84%B1%EC%9E%A5-%EB%A0%88%EC%8B%9C%ED%94%BC-728f87cb86c0?source=---------19-----------------------
1년 전 나에게 전하는 편지,2021.04.14,post#back end developer#junior#code review#yogiyo,요기요,https://techblog.yogiyo.co.kr/1%EB%85%84-%EC%A0%84-%EB%82%98%EC%97%90%EA%B2%8C-%EC%A0%84%ED%95%98%EB%8A%94-%ED%8E%B8%EC%A7%80-74536726870e?source=---------20-----------------------
Pair Programming으로 함께한 FE Developer의 성장기,2021.03.12,post#androiddev#pair programming#junior#yogiyo,요기요,https://techblog.yogiyo.co.kr/pair-programming%EC%9C%BC%EB%A1%9C-%ED%95%A8%EA%BB%98%ED%95%9Cfe-developer-%EC%84%B1%EC%9E%A5%EA%B8%B0-297c12908aac?source=---------21-----------------------
[돈까스 좋아해요?] — 요기요 ML엔지니어의 3개월,2021.02.08,recommendation system#rankings#post#ml engineer#yogiyo,요기요,https://techblog.yogiyo.co.kr/%EB%8F%88%EA%B9%8C%EC%8A%A4-%EC%A2%8B%EC%95%84%ED%95%B4%EC%9A%94-%EC%9A%94%EA%B8%B0%EC%9A%94-ml%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4%EC%9D%98-3%EA%B0%9C%EC%9B%94-4ff2af439487?source=---------22-----------------------
함께 성장해가는 Android Team 이야기,2021.01.18,post#andorid#culture#teamwork#yogiyo,요기요,https://techblog.yogiyo.co.kr/%ED%95%A8%EA%BB%98-%EC%84%B1%EC%9E%A5%ED%95%B4%EA%B0%80%EB%8A%94-android-team-%EC%9D%B4%EC%95%BC%EA%B8%B0-8b48b09687ca?source=---------23-----------------------
사내외 다양한 사용자를 만나는 Web Dev Team 이야기,2020.12.28,front end#web development#post#culture#yogiyo,요기요,https://techblog.yogiyo.co.kr/%EC%82%AC%EB%82%B4%EC%99%B8-%EB%8B%A4%EC%96%91%ED%95%9C-%EC%82%AC%EC%9A%A9%EC%9E%90%EB%A5%BC-%EB%A7%8C%EB%82%98%EB%8A%94-web-dev-team-%EC%9D%B4%EC%95%BC%EA%B8%B0-19396bcca58e?source=---------24-----------------------
Team Interview- iOS Team,2020.12.16,interview#post#ios#culture#yogiyo,요기요,https://techblog.yogiyo.co.kr/team-interview-ios-team-3c2802103e17?source=---------25-----------------------
